# 2023-12-09 17:10:41
# dimension  = 3
# MH = -0.1669 [-0.0506, +0.0502]

# 1. minimu chi2 value
# MH   chi2
-0.40000 91.98529
-0.30000 67.31689
-0.20000 56.79146
-0.10000 57.56928
0.00000 75.94541
0.10000 106.98509

# 2. polynomial fitting result
# MH   chi2
-0.4500000000 108.94101
-0.4469849246 107.83125
-0.4439698492 106.73256
-0.4409547739 105.64497
-0.4379396985 104.56848
-0.4349246231 103.50312
-0.4319095477 102.44890
-0.4288944724 101.40584
-0.4258793970 100.37396
-0.4228643216 99.35328
-0.4198492462 98.34381
-0.4168341709 97.34558
-0.4138190955 96.35859
-0.4108040201 95.38286
-0.4077889447 94.41842
-0.4047738693 93.46528
-0.4017587940 92.52346
-0.3987437186 91.59298
-0.3957286432 90.67385
-0.3927135678 89.76609
-0.3896984925 88.86971
-0.3866834171 87.98475
-0.3836683417 87.11121
-0.3806532663 86.24910
-0.3776381910 85.39846
-0.3746231156 84.55929
-0.3716080402 83.73162
-0.3685929648 82.91546
-0.3655778894 82.11082
-0.3625628141 81.31773
-0.3595477387 80.53621
-0.3565326633 79.76627
-0.3535175879 79.00792
-0.3505025126 78.26119
-0.3474874372 77.52609
-0.3444723618 76.80265
-0.3414572864 76.09087
-0.3384422111 75.39078
-0.3354271357 74.70239
-0.3324120603 74.02572
-0.3293969849 73.36079
-0.3263819095 72.70762
-0.3233668342 72.06622
-0.3203517588 71.43661
-0.3173366834 70.81881
-0.3143216080 70.21283
-0.3113065327 69.61870
-0.3082914573 69.03643
-0.3052763819 68.46603
-0.3022613065 67.90754
-0.2992462312 67.36095
-0.2962311558 66.82630
-0.2932160804 66.30359
-0.2902010050 65.79285
-0.2871859296 65.29410
-0.2841708543 64.80734
-0.2811557789 64.33261
-0.2781407035 63.86990
-0.2751256281 63.41926
-0.2721105528 62.98068
-0.2690954774 62.55419
-0.2660804020 62.13980
-0.2630653266 61.73754
-0.2600502513 61.34742
-0.2570351759 60.96946
-0.2540201005 60.60367
-0.2510050251 60.25008
-0.2479899497 59.90870
-0.2449748744 59.57954
-0.2419597990 59.26263
-0.2389447236 58.95799
-0.2359296482 58.66562
-0.2329145729 58.38556
-0.2298994975 58.11780
-0.2268844221 57.86239
-0.2238693467 57.61932
-0.2208542714 57.38862
-0.2178391960 57.17030
-0.2148241206 56.96439
-0.2118090452 56.77090
-0.2087939698 56.58985
-0.2057788945 56.42125
-0.2027638191 56.26513
-0.1997487437 56.12149
-0.1967336683 55.99037
-0.1937185930 55.87177
-0.1907035176 55.76571
-0.1876884422 55.67222
-0.1846733668 55.59130
-0.1816582915 55.52297
-0.1786432161 55.46726
-0.1756281407 55.42418
-0.1726130653 55.39375
-0.1695979899 55.37599
-0.1665829146 55.37090
-0.1635678392 55.37852
-0.1605527638 55.39885
-0.1575376884 55.43192
-0.1545226131 55.47775
-0.1515075377 55.53634
-0.1484924623 55.60772
-0.1454773869 55.69191
-0.1424623116 55.78892
-0.1394472362 55.89877
-0.1364321608 56.02148
-0.1334170854 56.15706
-0.1304020101 56.30554
-0.1273869347 56.46692
-0.1243718593 56.64124
-0.1213567839 56.82850
-0.1183417085 57.02872
-0.1153266332 57.24192
-0.1123115578 57.46813
-0.1092964824 57.70734
-0.1062814070 57.95959
-0.1032663317 58.22489
-0.1002512563 58.50326
-0.0972361809 58.79471
-0.0942211055 59.09926
-0.0912060302 59.41694
-0.0881909548 59.74775
-0.0851758794 60.09172
-0.0821608040 60.44886
-0.0791457286 60.81919
-0.0761306533 61.20273
-0.0731155779 61.59950
-0.0701005025 62.00950
-0.0670854271 62.43277
-0.0640703518 62.86932
-0.0610552764 63.31916
-0.0580402010 63.78231
-0.0550251256 64.25879
-0.0520100503 64.74862
-0.0489949749 65.25182
-0.0459798995 65.76840
-0.0429648241 66.29838
-0.0399497487 66.84177
-0.0369346734 67.39861
-0.0339195980 67.96889
-0.0309045226 68.55264
-0.0278894472 69.14989
-0.0248743719 69.76063
-0.0218592965 70.38490
-0.0188442211 71.02271
-0.0158291457 71.67408
-0.0128140704 72.33902
-0.0097989950 73.01756
-0.0067839196 73.70970
-0.0037688442 74.41548
-0.0007537688 75.13489
0.0022613065 75.86797
0.0052763819 76.61473
0.0082914573 77.37519
0.0113065327 78.14937
0.0143216080 78.93727
0.0173366834 79.73893
0.0203517588 80.55435
0.0233668342 81.38356
0.0263819095 82.22657
0.0293969849 83.08340
0.0324120603 83.95407
0.0354271357 84.83859
0.0384422111 85.73699
0.0414572864 86.64927
0.0444723618 87.57546
0.0474874372 88.51558
0.0505025126 89.46964
0.0535175879 90.43766
0.0565326633 91.41966
0.0595477387 92.41565
0.0625628141 93.42566
0.0655778894 94.44969
0.0685929648 95.48778
0.0716080402 96.53992
0.0746231156 97.60615
0.0776381910 98.68648
0.0806532663 99.78093
0.0836683417 100.88951
0.0866834171 102.01225
0.0896984925 103.14915
0.0927135678 104.30024
0.0957286432 105.46554
0.0987437186 106.64506
0.1017587940 107.83882
0.1047738693 109.04683
0.1077889447 110.26912
0.1108040201 111.50571
0.1138190955 112.75660
0.1168341709 114.02182
0.1198492462 115.30138
0.1228643216 116.59531
0.1258793970 117.90362
0.1288944724 119.22632
0.1319095477 120.56344
0.1349246231 121.91499
0.1379396985 123.28099
0.1409547739 124.66146
0.1439698492 126.05641
0.1469849246 127.46587
0.1500000000 128.88984
