# 2023-12-09 17:10:41
# dimension  = 3
# Teff = 7162.9666 [-59.1402, +59.9255]

# 1. minimu chi2 value
# Teff   chi2
6800.00000 121.43820
6900.00000 91.16882
7000.00000 68.13375
7100.00000 56.86661
7200.00000 56.79146
7300.00000 63.41863
7400.00000 79.60234
7500.00000 105.14978
7600.00000 137.13918
7700.00000 174.46628
7800.00000 218.54869

# 2. polynomial fitting result
# Teff   chi2
6700.0000000000 166.22901
6706.0301507538 163.23221
6712.0603015075 160.27984
6718.0904522613 157.37176
6724.1206030151 154.50784
6730.1507537688 151.68794
6736.1809045226 148.91192
6742.2110552764 146.17965
6748.2412060302 143.49099
6754.2713567839 140.84580
6760.3015075377 138.24395
6766.3316582915 135.68531
6772.3618090452 133.16972
6778.3919597990 130.69707
6784.4221105528 128.26720
6790.4522613065 125.87999
6796.4824120603 123.53530
6802.5125628141 121.23299
6808.5427135678 118.97292
6814.5728643216 116.75496
6820.6030150754 114.57897
6826.6331658291 112.44482
6832.6633165829 110.35236
6838.6934673367 108.30147
6844.7236180905 106.29200
6850.7537688442 104.32382
6856.7839195980 102.39680
6862.8140703518 100.51079
6868.8442211055 98.66565
6874.8743718593 96.86126
6880.9045226131 95.09748
6886.9346733668 93.37416
6892.9648241206 91.69118
6898.9949748744 90.04839
6905.0251256281 88.44566
6911.0552763819 86.88285
6917.0854271357 85.35983
6923.1155778894 83.87646
6929.1457286432 82.43260
6935.1758793970 81.02812
6941.2060301508 79.66288
6947.2361809045 78.33674
6953.2663316583 77.04957
6959.2964824121 75.80123
6965.3266331658 74.59158
6971.3567839196 73.42048
6977.3869346734 72.28781
6983.4170854271 71.19342
6989.4472361809 70.13718
6995.4773869347 69.11895
7001.5075376884 68.13859
7007.5376884422 67.19598
7013.5678391960 66.29096
7019.5979899497 65.42340
7025.6281407035 64.59317
7031.6582914573 63.80014
7037.6884422111 63.04415
7043.7185929648 62.32509
7049.7487437186 61.64281
7055.7788944724 60.99717
7061.8090452261 60.38804
7067.8391959799 59.81528
7073.8693467337 59.27875
7079.8994974874 58.77833
7085.9296482412 58.31386
7091.9597989950 57.88522
7097.9899497487 57.49227
7104.0201005025 57.13487
7110.0502512563 56.81289
7116.0804020101 56.52618
7122.1105527638 56.27462
7128.1407035176 56.05806
7134.1708542714 55.87637
7140.2010050251 55.72942
7146.2311557789 55.61705
7152.2613065327 55.53915
7158.2914572864 55.49557
7164.3216080402 55.48618
7170.3517587940 55.51084
7176.3819095477 55.56941
7182.4120603015 55.66175
7188.4422110553 55.78774
7194.4723618090 55.94723
7200.5025125628 56.14008
7206.5326633166 56.36617
7212.5628140704 56.62534
7218.5929648241 56.91748
7224.6231155779 57.24243
7230.6532663317 57.60007
7236.6834170854 57.99026
7242.7135678392 58.41285
7248.7437185930 58.86772
7254.7738693467 59.35473
7260.8040201005 59.87374
7266.8341708543 60.42461
7272.8643216080 61.00721
7278.8944723618 61.62140
7284.9246231156 62.26704
7290.9547738693 62.94400
7296.9849246231 63.65215
7303.0150753769 64.39133
7309.0452261307 65.16143
7315.0753768844 65.96229
7321.1055276382 66.79380
7327.1356783920 67.65580
7333.1658291457 68.54816
7339.1959798995 69.47074
7345.2261306533 70.42342
7351.2562814070 71.40604
7357.2864321608 72.41849
7363.3165829146 73.46061
7369.3467336683 74.53227
7375.3768844221 75.63334
7381.4070351759 76.76367
7387.4371859296 77.92314
7393.4673366834 79.11161
7399.4974874372 80.32893
7405.5276381910 81.57498
7411.5577889447 82.84961
7417.5879396985 84.15269
7423.6180904523 85.48408
7429.6482412060 86.84366
7435.6783919598 88.23127
7441.7085427136 89.64678
7447.7386934673 91.09006
7453.7688442211 92.56097
7459.7989949749 94.05937
7465.8291457286 95.58513
7471.8592964824 97.13811
7477.8894472362 98.71817
7483.9195979899 100.32518
7489.9497487437 101.95900
7495.9798994975 103.61950
7502.0100502513 105.30653
7508.0402010050 107.01996
7514.0703517588 108.75966
7520.1005025126 110.52548
7526.1306532663 112.31729
7532.1608040201 114.13496
7538.1909547739 115.97835
7544.2211055276 117.84732
7550.2512562814 119.74173
7556.2814070352 121.66145
7562.3115577889 123.60634
7568.3417085427 125.57626
7574.3718592965 127.57109
7580.4020100503 129.59067
7586.4321608040 131.63488
7592.4623115578 133.70358
7598.4924623116 135.79663
7604.5226130653 137.91389
7610.5527638191 140.05524
7616.5829145729 142.22052
7622.6130653266 144.40962
7628.6432160804 146.62238
7634.6733668342 148.85867
7640.7035175879 151.11836
7646.7336683417 153.40130
7652.7638190955 155.70737
7658.7939698492 158.03643
7664.8241206030 160.38833
7670.8542713568 162.76295
7676.8844221106 165.16014
7682.9145728643 167.57978
7688.9447236181 170.02171
7694.9748743719 172.48582
7701.0050251256 174.97195
7707.0351758794 177.47997
7713.0653266332 180.00976
7719.0954773869 182.56116
7725.1256281407 185.13404
7731.1557788945 187.72828
7737.1859296482 190.34372
7743.2160804020 192.98024
7749.2462311558 195.63769
7755.2763819095 198.31594
7761.3065326633 201.01486
7767.3366834171 203.73431
7773.3668341709 206.47414
7779.3969849246 209.23423
7785.4271356784 212.01444
7791.4572864322 214.81463
7797.4874371859 217.63467
7803.5175879397 220.47441
7809.5477386935 223.33372
7815.5778894472 226.21247
7821.6080402010 229.11051
7827.6381909548 232.02772
7833.6683417085 234.96395
7839.6984924623 237.91907
7845.7286432161 240.89294
7851.7587939698 243.88543
7857.7889447236 246.89639
7863.8190954774 249.92570
7869.8492462312 252.97321
7875.8793969849 256.03879
7881.9095477387 259.12231
7887.9396984925 262.22362
7893.9698492462 265.34259
7900.0000000000 268.47908
