# 2023-12-09 17:10:41
# dimension  = 3
# vsini = 72.7326 [-3.7119, +3.8566]

# 1. minimu chi2 value
# vsini   chi2
60.00000 61.94267
62.00000 60.38219
64.00000 59.10654
66.00000 58.11803
68.00000 57.40703
70.00000 56.96678
72.00000 56.79146
74.00000 56.86661
76.00000 57.03601
78.00000 57.44457
80.00000 58.07265
82.00000 58.90575
84.00000 59.91320
86.00000 61.07844
88.00000 62.37898
90.00000 63.79777
92.00000 65.31241
94.00000 66.91670
96.00000 68.58611
98.00000 70.30602
100.00000 72.07525

# 2. polynomial fitting result
# vsini   chi2
56.0000000000 66.08061
56.2412060302 65.79428
56.4824120603 65.51294
56.7236180905 65.23655
56.9648241206 64.96510
57.2060301508 64.69855
57.4472361809 64.43689
57.6884422111 64.18008
57.9296482412 63.92811
58.1708542714 63.68096
58.4120603015 63.43859
58.6532663317 63.20098
58.8944723618 62.96811
59.1356783920 62.73995
59.3768844221 62.51649
59.6180904523 62.29769
59.8592964824 62.08353
60.1005025126 61.87398
60.3417085427 61.66903
60.5829145729 61.46865
60.8241206030 61.27281
61.0653266332 61.08150
61.3065326633 60.89467
61.5477386935 60.71232
61.7889447236 60.53442
62.0301507538 60.36094
62.2713567839 60.19186
62.5125628141 60.02715
62.7537688442 59.86679
62.9949748744 59.71076
63.2361809045 59.55903
63.4773869347 59.41157
63.7185929648 59.26837
63.9597989950 59.12940
64.2010050251 58.99463
64.4422110553 58.86404
64.6834170854 58.73761
64.9246231156 58.61531
65.1658291457 58.49712
65.4070351759 58.38301
65.6482412060 58.27296
65.8894472362 58.16694
66.1306532663 58.06493
66.3718592965 57.96691
66.6130653266 57.87286
66.8542713568 57.78273
67.0954773869 57.69653
67.3366834171 57.61421
67.5778894472 57.53575
67.8190954774 57.46114
68.0603015075 57.39034
68.3015075377 57.32333
68.5427135678 57.26010
68.7839195980 57.20060
69.0251256281 57.14482
69.2663316583 57.09274
69.5075376884 57.04433
69.7487437186 56.99957
69.9899497487 56.95842
70.2311557789 56.92088
70.4723618090 56.88691
70.7135678392 56.85649
70.9547738693 56.82959
71.1959798995 56.80619
71.4371859296 56.78627
71.6783919598 56.76980
71.9195979899 56.75676
72.1608040201 56.74713
72.4020100503 56.74087
72.6432160804 56.73797
72.8844221106 56.73839
73.1256281407 56.74213
73.3668341709 56.74915
73.6080402010 56.75942
73.8492462312 56.77293
74.0904522613 56.78965
74.3316582915 56.80955
74.5728643216 56.83262
74.8140703518 56.85882
75.0552763819 56.88813
75.2964824121 56.92053
75.5376884422 56.95600
75.7788944724 56.99450
76.0201005025 57.03602
76.2613065327 57.08054
76.5025125628 57.12801
76.7437185930 57.17844
76.9849246231 57.23177
77.2261306533 57.28801
77.4673366834 57.34711
77.7085427136 57.40906
77.9497487437 57.47383
78.1909547739 57.54139
78.4321608040 57.61173
78.6733668342 57.68482
78.9145728643 57.76063
79.1557788945 57.83914
79.3969849246 57.92033
79.6381909548 58.00417
79.8793969849 58.09064
80.1206030151 58.17970
80.3618090452 58.27135
80.6030150754 58.36555
80.8442211055 58.46228
81.0854271357 58.56152
81.3266331658 58.66324
81.5678391960 58.76741
81.8090452261 58.87402
82.0502512563 58.98304
82.2914572864 59.09444
82.5326633166 59.20820
82.7738693467 59.32430
83.0150753769 59.44271
83.2562814070 59.56340
83.4974874372 59.68636
83.7386934673 59.81156
83.9798994975 59.93898
84.2211055276 60.06858
84.4623115578 60.20035
84.7035175879 60.33426
84.9447236181 60.47029
85.1859296482 60.60841
85.4271356784 60.74860
85.6683417085 60.89083
85.9095477387 61.03509
86.1507537688 61.18134
86.3919597990 61.32956
86.6331658291 61.47974
86.8743718593 61.63183
87.1155778894 61.78582
87.3567839196 61.94169
87.5979899497 62.09941
87.8391959799 62.25896
88.0804020101 62.42030
88.3216080402 62.58343
88.5628140704 62.74831
88.8040201005 62.91491
89.0452261307 63.08323
89.2864321608 63.25322
89.5276381910 63.42487
89.7688442211 63.59815
90.0100502513 63.77304
90.2512562814 63.94951
90.4924623116 64.12755
90.7336683417 64.30711
90.9748743719 64.48819
91.2160804020 64.67076
91.4572864322 64.85479
91.6984924623 65.04025
91.9396984925 65.22713
92.1809045226 65.41540
92.4221105528 65.60503
92.6633165829 65.79601
92.9045226131 65.98830
93.1457286432 66.18188
93.3869346734 66.37673
93.6281407035 66.57283
93.8693467337 66.77015
94.1105527638 66.96866
94.3517587940 67.16834
94.5929648241 67.36917
94.8341708543 67.57112
95.0753768844 67.77417
95.3165829146 67.97829
95.5577889447 68.18346
95.7989949749 68.38966
96.0402010050 68.59686
96.2814070352 68.80504
96.5226130653 69.01417
96.7638190955 69.22423
97.0050251256 69.43519
97.2462311558 69.64703
97.4874371859 69.85973
97.7286432161 70.07326
97.9698492462 70.28759
98.2110552764 70.50271
98.4522613065 70.71859
98.6934673367 70.93520
98.9346733668 71.15252
99.1758793970 71.37053
99.4170854271 71.58920
99.6582914573 71.80851
99.8994974874 72.02843
100.1407035176 72.24893
100.3819095477 72.47001
100.6231155779 72.69162
100.8643216080 72.91375
101.1055276382 73.13637
101.3467336683 73.35945
101.5879396985 73.58298
101.8291457286 73.80693
102.0703517588 74.03128
102.3115577889 74.25599
102.5527638191 74.48105
102.7939698492 74.70643
103.0351758794 74.93211
103.2763819095 75.15806
103.5175879397 75.38427
103.7587939698 75.61069
104.0000000000 75.83732
